SUBDIVISION,YEAR,Parameter,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
LAKSHADWEEP,1901-2015,Coefficient of variation,139.6,156.2,147.9,114.7,65.6,31.1,41.7,49.2,59.8,49.3,61.1,100.8,17.1,115.4,55.0,22.0,39.0
LAKSHADWEEP,1901,Actual,22.6,86.4,114.8,263.8,37.3,459,0,0,46.7,183.7,229.9,15,1459.2,109,415.9,505.7,428.6
LAKSHADWEEP,1901,Percentage departure,-18.7,437.7,688.9,489.5,-77.8,39.3,-100,-100,-71.2,9.2,83.3,-75.5,-9.1,148.5,83.2,-48.4,20.8
LAKSHADWEEP,1901,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1902,Actual,99.3,9.6,32.6,40.4,179.1,374.2,413.3,170,214.3,384.2,192.8,49,2158.8,108.9,252.1,1171.8,626
LAKSHADWEEP,1902,Percentage departure,257.3,-40.3,124,-9.7,6.8,13.6,45.8,-16.9,32,128.3,53.7,-19.8,34.5,148.3,11,19.6,76.4
LAKSHADWEEP,1902,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1903,Actual,63.5,95,0,29.5,144.1,212.4,261.8,202,292.1,79.1,NA,NA,NA,158.5,173.6,968.3,NA
LAKSHADWEEP,1903,Percentage departure,128.5,491.2,-100,-34.1,-14.1,-35.5,-7.6,-1.3,80,-53,NA,NA,NA,261.4,-23.5,-1.2,NA
LAKSHADWEEP,1903,No. of districts,1,1,1,1,1,1,1,1,1,1,0,0,NA,NA,NA,NA,NA
LAKSHADWEEP,1904,Actual,0,0,13.5,13.2,143.3,261.3,256,38.9,219.9,153.6,8.3,68.9,1176.9,0,170,776.1,230.8
LAKSHADWEEP,1904,Percentage departure,-100,-100,-7.2,-70.5,-14.6,-20.7,-9.7,-81,35.5,-8.7,-93.4,12.7,-26.7,-100,-25.1,-20.8,-34.9
LAKSHADWEEP,1904,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1905,Actual,62.4,0,0,0,166.7,400.7,68.7,377.5,107.5,232.1,159.3,0,1574.9,62.4,166.7,954.4,391.4
LAKSHADWEEP,1905,Percentage departure,124.5,-100,-100,-100,-0.6,21.6,-75.8,84.5,-33.8,37.9,27,-100,-1.9,42.3,-26.6,-2.6,10.3
LAKSHADWEEP,1905,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1906,Actual,17.8,0,24.4,33.8,213,465,348.6,260.5,25.9,252.3,106.5,63.8,1811.6,17.8,271.2,1100,422.6
LAKSHADWEEP,1906,Percentage departure,-35.9,-100,67.7,-24.5,27,41.2,23,27.3,-84,49.9,-15.1,4.4,12.8,-59.4,19.4,12.3,19.1
LAKSHADWEEP,1906,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1907,Actual,60.6,49.3,0,123.5,77,241.1,199.5,165.6,25.8,176.3,292.7,47.4,1458.8,109.9,200.5,632,516.4
LAKSHADWEEP,1907,Percentage departure,118.1,206.8,-100,176,-54.1,-26.8,-29.6,-19.1,-84.1,4.8,133.4,-22.4,-9.1,150.6,-11.7,-35.5,45.5
LAKSHADWEEP,1907,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1908,Actual,18,9.2,5.6,162,150.9,471.7,184.9,73.9,437,251.2,98,96.7,1959.1,27.2,318.5,1167.5,445.9
LAKSHADWEEP,1908,Percentage departure,-35.2,-42.7,-61.5,262,-10,43.2,-34.8,-63.9,169.2,49.3,-21.9,58.2,22,-38,40.3,19.2,25.7
LAKSHADWEEP,1908,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1909,Actual,70.4,0,34.2,92.4,48.4,204,122.4,368.8,105.1,340.5,45,32.3,1463.5,70.4,175,800.3,417.8
LAKSHADWEEP,1909,Percentage departure,153.3,-100,135,106.5,-71.1,-38.1,-56.8,80.2,-35.2,102.4,-64.1,-47.2,-8.8,60.5,-22.9,-18.3,17.8
LAKSHADWEEP,1909,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1910,Actual,2.3,0,32.8,34.3,201.1,340.4,155.2,292.4,301.8,317.1,171.8,0,1849.2,2.3,268.2,1089.8,488.9
LAKSHADWEEP,1910,Percentage departure,-91.7,-100,125.4,-23.4,19.9,3.3,-45.2,42.9,85.9,88.5,37,-100,15.2,-94.8,18.1,11.2,37.8
LAKSHADWEEP,1910,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1911,Actual,22.4,0,0,0,104.2,425.3,245.5,60.3,67.9,316.1,276,170,1687.7,22.4,104.2,799,762.1
LAKSHADWEEP,1911,Percentage departure,-19.4,-100,-100,-100,-37.9,29.1,-13.4,-70.5,-58.2,87.9,120.1,178.1,5.1,-48.9,-54.1,-18.4,114.8
LAKSHADWEEP,1911,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1912,Actual,11.4,54.6,8.1,118.6,165.1,417.8,171.7,152.2,68.9,267.8,126.2,92.5,1654.9,66,291.8,810.6,486.5
LAKSHADWEEP,1912,Percentage departure,-59,239.8,-44.3,165,-1.6,26.8,-39.4,-25.6,-57.5,59.2,0.6,51.3,3.1,50.5,28.5,-17.3,37.1
LAKSHADWEEP,1912,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1913,Actual,77,1.8,50.3,53.4,244,251.8,215.5,235.5,38.6,154.3,111.4,84.9,1518.5,78.8,347.7,741.4,350.6
LAKSHADWEEP,1913,Percentage departure,177.1,-88.8,245.7,19.3,45.5,-23.6,-24,15.1,-76.2,-8.3,-11.2,38.9,-5.4,79.7,53.1,-24.3,-1.2
LAKSHADWEEP,1913,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1914,Actual,10.4,0,53.3,10.2,120.7,377.1,347.5,220.4,26.5,437,172,258.9,2034,10.4,184.2,971.5,867.9
LAKSHADWEEP,1914,Percentage departure,-62.6,-100,266.3,-77.2,-28,14.5,22.6,7.7,-83.7,159.7,37.1,323.6,26.7,-76.3,-18.9,-0.8,144.6
LAKSHADWEEP,1914,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1915,Actual,0,0,22.9,50.5,143.3,183.4,461.6,76,222.1,151.6,155.8,78.3,1545.5,0,216.7,943.1,385.7
LAKSHADWEEP,1915,Percentage departure,-100,-100,57.4,12.8,-14.6,-44.3,62.9,-62.9,36.8,-9.9,24.2,28.1,-3.7,-100,-4.6,-3.7,8.7
LAKSHADWEEP,1915,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1916,Actual,0.3,13.2,32,28.7,130.5,327.6,445.9,31.8,275.4,85.2,17.5,10.4,1398.5,13.5,191.2,1080.7,113.1
LAKSHADWEEP,1916,Percentage departure,-98.9,-17.9,119.9,-35.9,-22.2,-0.5,57.3,-84.5,69.7,-49.4,-86,-83,-12.9,-69.2,-15.8,10.3,-68.1
LAKSHADWEEP,1916,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1917,Actual,NA,68.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAKSHADWEEP,1917,Percentage departure,NA,326.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAKSHADWEEP,1917,No. of districts,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
LAKSHADWEEP,1919,Actual,74.4,1.3,39.4,25.6,249.8,352.1,367.4,175.6,196.9,181,150.2,112.8,1926.5,75.7,314.8,1092,444
LAKSHADWEEP,1919,Percentage departure,167.7,-91.9,170.8,-42.8,48.9,6.9,29.6,-14.2,21.3,7.6,19.8,84.6,20,72.6,38.6,11.5,25.1
LAKSHADWEEP,1919,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1920,Actual,82.6,NA,35.6,49.4,203.1,530,134.2,116.9,247.6,258.8,359.6,33.1,NA,NA,288.1,1028.7,651.5
LAKSHADWEEP,1920,Percentage departure,197.2,NA,144.7,10.4,21.1,60.9,-52.6,-42.9,52.6,53.8,186.7,-45.8,NA,NA,26.9,5,83.6
LAKSHADWEEP,1920,No. of districts,1,0,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1921,Actual,37.6,0,16.8,82.4,156.3,326.2,163.7,235.5,NA,170.3,110.3,93,NA,37.6,255.5,NA,373.6
LAKSHADWEEP,1921,Percentage departure,35.3,-100,15.5,84.1,-6.8,-1,-42.2,15.1,NA,1.2,-12.1,52.2,NA,-14.3,12.5,NA,5.3
LAKSHADWEEP,1921,No. of districts,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1922,Actual,17.8,56.7,0,214.1,112.8,232.9,258,190.4,425.2,152.7,210,57.9,1928.5,74.5,326.9,1106.5,420.6
LAKSHADWEEP,1922,Percentage departure,-35.9,252.9,-100,378.4,-32.8,-29.3,-9,-6.9,162,-9.3,67.4,-5.3,20.1,69.9,44,12.9,18.5
LAKSHADWEEP,1922,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1923,Actual,43.7,1.6,25,0,13.5,372.8,314.6,198.9,189.3,149.7,65.2,197.9,1572.2,45.3,38.5,1075.6,412.8
LAKSHADWEEP,1923,Percentage departure,57.3,-90,71.8,-100,-92,13.2,11,-2.8,16.6,-11,-48,223.8,-2.1,3.3,-83,9.8,16.3
LAKSHADWEEP,1923,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1924,Actual,23.8,1,4.7,57.6,224.9,567.3,339.2,396.4,236.8,96.5,15.2,8.6,1972,24.8,287.2,1539.7,120.3
LAKSHADWEEP,1924,Percentage departure,-14.4,-93.8,-67.7,28.7,34.1,72.2,19.7,93.7,45.9,-42.7,-87.9,-85.9,22.8,-43.5,26.5,57.2,-66.1
LAKSHADWEEP,1924,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1925,Actual,2.3,7.5,15.5,32.6,244.2,327.5,192.3,295.3,63.5,109.3,144.9,242,1676.9,9.8,292.3,878.6,496.2
LAKSHADWEEP,1925,Percentage departure,-91.7,-53.3,6.5,-27.2,45.6,-0.6,-32.1,44.3,-60.9,-35,15.5,295.9,4.5,-77.7,28.7,-10.3,39.9
LAKSHADWEEP,1925,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1926,Actual,262.8,16,33.6,60.2,335.8,392,303.9,118.2,97.2,83.4,119.3,13.8,1836.2,278.8,429.6,911.3,216.5
LAKSHADWEEP,1926,Percentage departure,845.7,-0.4,130.9,34.5,100.2,19,7.2,-42.2,-40.1,-50.4,-4.9,-77.4,14.4,535.7,89.2,-7,-39
LAKSHADWEEP,1926,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1927,Actual,108.2,14.7,40.7,40.4,229,181.2,NA,42,256,NA,NA,NA,NA,122.9,310.1,NA,NA
LAKSHADWEEP,1927,Percentage departure,289.4,-8.5,179.7,-9.7,36.5,-45,NA,-79.5,57.7,NA,NA,NA,NA,180.2,36.6,NA,NA
LAKSHADWEEP,1927,No. of districts,1,1,1,1,1,1,0,1,1,0,0,0,NA,NA,NA,NA,NA
LAKSHADWEEP,1928,Actual,42.5,66.6,NA,1.4,212.3,206.9,268.8,174.9,53.8,124.1,116.3,139.3,NA,109.1,NA,704.4,379.7
LAKSHADWEEP,1928,Percentage departure,52.9,314.5,NA,-96.9,26.6,-37.2,-5.2,-14.5,-66.9,-26.2,-7.3,127.9,NA,148.8,NA,-28.1,7
LAKSHADWEEP,1928,No. of districts,1,1,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1929,Actual,6.1,66.6,49.5,91,248,259.3,452.7,34.2,186.3,100.2,NA,28.8,NA,72.7,388.5,932.5,NA
LAKSHADWEEP,1929,Percentage departure,-78,314.5,240.2,103.3,47.8,-21.3,59.7,-83.3,14.8,-40.5,NA,-52.9,NA,65.8,71.1,-4.8,NA
LAKSHADWEEP,1929,No. of districts,1,1,1,1,1,1,1,1,1,1,0,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1930,Actual,14,24.6,14.2,0,110.6,277.5,115.5,186.4,193,170.6,79.6,72.4,1258.4,38.6,124.8,772.4,322.6
LAKSHADWEEP,1930,Percentage departure,-49.6,53.1,-2.4,-100,-34.1,-15.8,-59.2,-8.9,18.9,1.4,-36.5,18.5,-21.6,-12,-45,-21.2,-9.1
LAKSHADWEEP,1930,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1931,Actual,NA,0,0,28.5,194.6,262,290.4,347.9,167.1,102,118.3,96.1,NA,NA,223.1,1067.4,316.4
LAKSHADWEEP,1931,Percentage departure,NA,-100,-100,-36.3,16,-20.5,2.5,70,3,-39.4,-5.7,57.2,NA,NA,-1.7,8.9,-10.8
LAKSHADWEEP,1931,No. of districts,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1932,Actual,0,0.2,4.8,0.4,372.6,239.4,435,286.7,63.5,256.3,178.1,56.7,1893.7,0.2,377.8,1024.6,491.1
LAKSHADWEEP,1932,Percentage departure,-100,-98.8,-67,-99.1,122.1,-27.3,53.5,40.1,-60.9,52.3,42,-7.2,18,-99.5,66.4,4.6,38.4
LAKSHADWEEP,1932,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1933,Actual,6.1,34.5,16.5,44.5,660.8,200.3,366,334.8,390,157.9,85.1,17.6,2314.1,40.6,721.8,1291.1,260.6
LAKSHADWEEP,1933,Percentage departure,-78,114.7,13.4,-0.6,293.9,-39.2,29.1,63.6,140.3,-6.2,-32.1,-71.2,44.1,-7.4,217.9,31.8,-26.6
LAKSHADWEEP,1933,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1934,Actual,122.3,5.7,5.1,30.8,37.4,305.1,197.1,71.4,76.3,161.5,74.9,0.3,1087.9,128,73.3,649.9,236.7
LAKSHADWEEP,1934,Percentage departure,340.1,-64.5,-65,-31.2,-77.7,-7.4,-30.5,-65.1,-53,-4,-40.3,-99.5,-32.2,191.8,-67.7,-33.7,-33.3
LAKSHADWEEP,1934,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1935,Actual,9.2,7.7,0,41.1,15.8,351.8,309.1,277.5,136.4,142.8,145.4,92.4,1529.2,16.9,56.9,1074.8,380.6
LAKSHADWEEP,1935,Percentage departure,-66.9,-52.1,-100,-8.2,-90.6,6.8,9.1,35.6,-16,-15.1,15.9,51.2,-4.7,-61.5,-74.9,9.7,7.3
LAKSHADWEEP,1935,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1936,Actual,0.5,1,41.1,18.8,354.8,464.2,177.1,161.1,219.1,70.1,177.1,59.2,1744.1,1.5,414.7,1021.5,306.4
LAKSHADWEEP,1936,Percentage departure,-98.2,-93.8,182.4,-58,111.5,40.9,-37.5,-21.3,35,-58.3,41.2,-3.1,8.6,-96.6,82.6,4.3,-13.6
LAKSHADWEEP,1936,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1937,Actual,8.3,2.5,1.5,15.8,79.7,371.8,391,80,101.3,167.9,191,32.8,1443.6,10.8,97,944.1,391.7
LAKSHADWEEP,1937,Percentage departure,-70.1,-84.4,-89.7,-64.7,-52.5,12.9,38,-60.9,-37.6,-0.2,52.3,-46.3,-10.1,-75.4,-57.3,-3.6,10.4
LAKSHADWEEP,1937,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1938,Actual,6.8,6.3,8,74,113.8,145.4,230.3,385.8,132.8,113.3,210.8,120.3,1547.6,13.1,195.8,894.3,444.4
LAKSHADWEEP,1938,Percentage departure,-75.5,-60.8,-45,65.4,-32.2,-55.9,-18.7,88.6,-18.2,-32.7,68.1,96.8,-3.6,-70.1,-13.8,-8.7,25.3
LAKSHADWEEP,1938,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1939,Actual,9,0.5,0,2.5,20.3,412.7,220.1,248,47,114.6,126.8,5.8,1207.3,9.5,22.8,927.8,247.2
LAKSHADWEEP,1939,Percentage departure,-67.6,-96.9,-100,-94.4,-87.9,25.3,-22.3,21.2,-71,-31.9,1.1,-90.5,-24.8,-78.3,-90,-5.3,-30.3
LAKSHADWEEP,1939,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1940,Actual,14.8,0.4,0,19.2,61.4,292.5,267.2,242,36.4,237.7,194.3,40.8,1406.7,15.2,80.6,838.1,472.8
LAKSHADWEEP,1940,Percentage departure,-46.7,-97.5,-100,-57.1,-63.4,-11.2,-5.7,18.3,-77.6,41.3,54.9,-33.2,-12.4,-65.3,-64.5,-14.5,33.3
LAKSHADWEEP,1940,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1941,Actual,44.4,16.5,2.7,1,227.6,213.3,142,182.4,138.5,78.1,72.9,44,1163.4,60.9,231.3,676.2,195
LAKSHADWEEP,1941,Percentage departure,59.8,2.7,-81.4,-97.8,35.7,-35.2,-49.9,-10.9,-14.7,-53.6,-41.9,-28,-27.5,38.9,1.9,-31,-45
LAKSHADWEEP,1941,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1942,Actual,40,3.8,15.1,69.1,154.1,539.7,346.6,207.3,90.1,120.5,39.2,160.7,1786.2,43.8,238.3,1183.7,320.4
LAKSHADWEEP,1942,Percentage departure,43.9,-76.4,3.8,54.4,-8.1,63.8,22.3,1.3,-44.5,-28.4,-68.7,162.9,11.3,-0.1,5,20.8,-9.7
LAKSHADWEEP,1942,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1943,Actual,112.6,57.4,0,NA,146,422.3,346,203.1,154.8,309.3,142.8,55.5,NA,170,NA,1126.2,507.6
LAKSHADWEEP,1943,Percentage departure,305.2,257.2,-100,NA,-13,28.2,22.1,-0.7,-4.6,83.8,13.9,-9.2,NA,287.6,NA,14.9,43.1
LAKSHADWEEP,1943,No. of districts,1,1,1,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1944,Actual,25.4,67.9,5.8,16.6,174.5,261.4,247.3,99.1,272.6,175.9,234.9,86.7,1668.1,93.3,196.9,880.4,497.5
LAKSHADWEEP,1944,Percentage departure,-8.6,322.6,-60.1,-62.9,4,-20.6,-12.7,-51.6,68,4.5,87.3,41.9,3.9,112.7,-13.3,-10.1,40.2
LAKSHADWEEP,1944,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1945,Actual,16.8,1.3,0,0.9,54.2,362,341,148.8,42.8,132.8,155.1,65.6,1321.3,18.1,55.1,894.6,353.5
LAKSHADWEEP,1945,Percentage departure,-39.5,-91.9,-100,-98,-67.7,9.9,20.3,-27.3,-73.6,-21.1,23.7,7.3,-17.7,-58.7,-75.7,-8.7,-0.4
LAKSHADWEEP,1945,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1946,Actual,15.7,1.5,9.5,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,NA,NA,NA
LAKSHADWEEP,1946,Percentage departure,-43.5,-90.7,-34.7,-28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-60.8,NA,NA,NA
LAKSHADWEEP,1946,No. of districts,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
LAKSHADWEEP,1947,Actual,20.1,9.1,24.3,140.2,87.9,364.8,303.6,504.6,168.8,74.2,28.4,29.9,1755.9,29.2,252.4,1341.8,132.5
LAKSHADWEEP,1947,Percentage departure,-27.7,-43.4,67,213.3,-47.6,10.7,7.1,146.6,4,-55.9,-77.4,-51.1,9.4,-33.4,11.2,37,-62.7
LAKSHADWEEP,1947,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1948,Actual,70,5.7,0.2,17.2,121,278.5,159,124.8,39.5,356.7,118.5,34.2,1325.3,75.7,138.4,601.8,509.4
LAKSHADWEEP,1948,Percentage departure,151.9,-64.5,-98.6,-61.6,-27.9,-15.5,-43.9,-39,-75.7,112,-5.5,-44,-17.4,72.6,-39,-38.6,43.6
LAKSHADWEEP,1948,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1949,Actual,2.2,1,0,2.4,372.5,380.5,476.7,242.5,188.5,80.1,NA,8.8,NA,3.2,374.9,1288.2,NA
LAKSHADWEEP,1949,Percentage departure,-92.1,-93.8,-100,-94.6,122.1,15.5,68.2,18.5,16.1,-52.4,NA,-85.6,NA,-92.7,65.1,31.5,NA
LAKSHADWEEP,1949,No. of districts,1,1,1,1,1,1,1,1,1,1,0,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1950,Actual,8.5,38.7,25.1,69.9,158.6,203.1,405,266.5,135.3,52.7,31,99.7,1494.1,47.2,253.6,1009.9,183.4
LAKSHADWEEP,1950,Percentage departure,-69.4,140.8,72.5,56.2,-5.5,-38.3,42.9,30.2,-16.6,-68.7,-75.3,63.1,-6.9,7.6,11.7,3.1,-48.3
LAKSHADWEEP,1950,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1951,Actual,24.3,28.9,35.3,129.9,108.4,445.1,524.2,43.7,156,68.6,103.6,47.3,1715.3,53.2,273.6,1169,219.5
LAKSHADWEEP,1951,Percentage departure,-12.6,79.9,142.6,190.3,-35.4,35.1,85,-78.6,-3.9,-59.2,-17.4,-22.6,6.8,21.3,20.5,19.3,-38.1
LAKSHADWEEP,1951,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1952,Actual,21.3,11.2,0.8,11.6,152.4,343.5,157.9,79.6,38.3,273,12.2,22.7,1124.5,32.5,164.8,619.3,307.9
LAKSHADWEEP,1952,Percentage departure,-23.4,-30.3,-94.5,-74.1,-9.1,4.3,-44.3,-61.1,-76.4,62.2,-90.3,-62.9,-30,-25.9,-27.4,-36.8,-13.2
LAKSHADWEEP,1952,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1953,Actual,10.4,40.8,9.3,35,15.3,205.8,537,69.4,125.5,452.4,95.6,9.7,1606.2,51.2,59.6,937.7,557.7
LAKSHADWEEP,1953,Percentage departure,-62.6,153.9,-36.1,-21.8,-90.9,-37.5,89.5,-66.1,-22.7,168.9,-23.8,-84.1,0,16.7,-73.8,-4.3,57.2
LAKSHADWEEP,1953,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1954,Actual,74.1,0,14.6,39.8,122.3,375.2,259.5,232.9,123.5,256.2,34.1,23.3,1555.5,74.1,176.7,991.1,313.6
LAKSHADWEEP,1954,Percentage departure,166.6,-100,0.3,-11.1,-27.1,13.9,-8.4,13.8,-23.9,52.3,-72.8,-61.9,-3.1,69,-22.2,1.2,-11.6
LAKSHADWEEP,1954,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1955,Actual,11.4,39.1,0,105.4,235.2,345.5,215.4,63.2,302.5,155.9,61.2,13.5,1548.3,50.5,340.6,926.6,230.6
LAKSHADWEEP,1955,Percentage departure,-59,143.3,-100,135.5,40.2,4.9,-24,-69.1,86.4,-7.3,-51.2,-77.9,-3.6,15.1,50,-5.4,-35
LAKSHADWEEP,1955,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1956,Actual,13.6,27.7,1.3,40.8,269.5,356.1,109.8,91.6,148,175.6,48.5,4.9,1287.4,41.3,311.6,705.5,229
LAKSHADWEEP,1956,Percentage departure,-51.1,72.4,-91.1,-8.8,60.7,8.1,-61.3,-55.2,-8.8,4.4,-61.3,-92,-19.8,-5.8,37.2,-28,-35.5
LAKSHADWEEP,1956,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1957,Actual,0.9,11.4,34.6,23.7,195.6,309.9,129.1,149.6,47.5,215.2,198.5,31.2,1347.2,12.3,253.9,636.1,444.9
LAKSHADWEEP,1957,Percentage departure,-96.8,-29.1,137.8,-47,16.6,-5.9,-54.4,-26.9,-70.7,27.9,58.3,-49,-16.1,-72,11.8,-35.1,25.4
LAKSHADWEEP,1957,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1958,Actual,0.2,1.6,0,8,116,269.4,84.5,238.2,54,133.4,51.1,36.2,992.6,1.8,124,646.1,220.7
LAKSHADWEEP,1958,Percentage departure,-99.3,-90,-100,-82.1,-30.8,-18.2,-70.2,16.4,-66.7,-20.7,-59.3,-40.8,-38.2,-95.9,-45.4,-34.1,-37.8
LAKSHADWEEP,1958,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1959,Actual,15,0,8,51.6,320.5,337.7,205.8,151.2,183.2,183.8,97.8,29,1583.6,15,380.1,877.9,310.6
LAKSHADWEEP,1959,Percentage departure,-46,-100,-45,15.3,91.1,2.5,-27.4,-26.1,12.9,9.2,-22,-52.6,-1.4,-65.8,67.4,-10.4,-12.5
LAKSHADWEEP,1959,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
LAKSHADWEEP,1960,Actual,29.6,40,3.3,85.4,497.1,176.8,257.3,168.4,221.3,169.7,235.9,17,1901.8,69.6,585.8,823.8,422.6
LAKSHADWEEP,1960,Percentage departure,6.5,148.9,-77.3,90.8,196.3,-46.3,-9.2,-17.7,36.3,0.9,88.1,-72.2,18.5,58.7,158,-15.9,19.1
LAKSHADWEEP,1960,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
